,SHELL ID#,Molding Date,Inspection date,Mold station #,Number of ribs,Mold type,Shell diameter,Tank Type,Resin Type,Total Sprayers Worked,Rework
0,91007504 A,2022-12-20,2023-01-04,2.0,6.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.11
1,91007504 B,2022-12-20,2023-01-04,3.0,6.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,0,0.11
2,91007504 C,2022-12-20,2023-01-04,5.0,9.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,0,0.17
3,91007503 B,2022-12-19,2023-01-04,3.0,6.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,2,0.0
4,91007502 B,2022-12-21,2023-01-04,4.0,10.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,2,0.4
5,91007503 C,2022-12-17,2023-01-04,4.0,9.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,2,0.43
6,908221130 A,,2023-01-04,,10.0,02-Steel,8.0,05-DW-UL/ULC,10-DION 490-27 WINTER,0,0.0
7,91007502 A,2022-12-21,2023-01-04,3.0,10.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.32
8,91007493 A,2022-12-20,2023-01-05,3.0,11.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.0762
9,91007493 B,2022-12-20,2023-01-05,2.0,10.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.24
10,908221129 B,2022-12-20,2023-01-05,1.0,9.0,02-Steel,8.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.57
11,91007484 A,2022-12-15,2023-01-05,3.0,10.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.16
12,908221129 A,2022-12-20,2023-01-05,1.0,10.0,02-Steel,8.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.94
13,91007484 B,2022-12-20,2023-01-05,2.0,6.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.56
14,908221153 A,2022-12-12,2023-01-05,1.0,11.0,02-Steel,8.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.0
15,908221153 B,2022-12-12,2023-01-05,2.0,10.0,02-Steel,8.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.0
16,91007477 C,2022-12-15,2023-01-05,3.0,7.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.2
17,91007484 C,2022-12-15,2023-01-06,3.0,7.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.51
18,91007170 B,2022-12-16,2023-01-06,5.0,15.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.12
19,91007600 C,2022-12-16,2023-01-06,2.0,5.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,2,0.13
20,91007505 B,2023-01-04,2023-01-06,2.0,5.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,2,0.13
21,91007505 A,2023-01-05,2023-01-06,4.0,6.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.11
22,91007600 A,2023-01-04,2023-01-07,4.0,11.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,2,0.07
23,91007170 A,2023-01-04,2023-01-07,5.0,15.0,02-Steel,10.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.29
24,908221154 B,2022-12-07,2023-01-07,1.0,10.0,02-Steel,8.0,05-DW-UL/ULC,10-DION 490-27 WINTER,1,0.31
